역명,역별_평균일일합계_합계,역별_평균일일합계_평균,노인_친화_점수,활동_유형,상권관광_연계,활동_태그,관광지
제기동,254654,8488,★★★★,시장형,전통시장/상권,시장형,"서울약령시장, 경동시장, 선농단"
청량리,221794,7393,★★★★,시장형,"전통시장/상권, 환승거점, 대학가","대학가형, 시장형, 환승거점형","청량리종합시장, 홍릉수목원"
종로5가,220762,7359,★★★★,시장형,"전통시장/상권, 업무지구","시장형, 업무지구형","광장시장, 종묘"
연신내,215410,7180,★★,환승거점형,환승거점,환승거점형,"불광천 산책로, 망우산(사색의 길)"
선릉,186075,6202,★★,업무지구형,업무지구,업무지구형,선릉과 정릉
창동,173924,5797,★★,기타,일반생활권,기타,창동 신경제문화공간(플랫폼창동 61)
회현,172360,5745,★★★★,시장형,전통시장/상권,시장형,"남대문시장, 숭례문, 서울로7017"
신림,171988,5733,★★,기타,일반생활권,기타,"관악산 등산로, 관악산공원"
수유,160679,5356,★★★★,시장형,전통시장/상권,시장형,"북한산둘레길, 화계사"
신도림,158846,5295,★★,환승거점형,환승거점,환승거점형,디큐브아트센터
미아사거리,152536,5085,★★,기타,일반생활권,기타,북서울꿈의숲
서울대입구,148782,4959,★★,대학가형,대학가,대학가형,낙성대공원
구로디지털단지,148069,4936,★★,기타,일반생활권,기타,안양천생태공원
쌍문,141101,4703,★★,기타,일반생활권,기타,둘리뮤지엄
총신대입구,141053,4702,★★,대학가형,대학가,대학가형,
종로3가,137225,4574,★★,업무지구형,업무지구,업무지구형,"탑골공원, 인사동길, 서울돈화문국악당"
역삼,137050,4568,★★,업무지구형,업무지구,업무지구형,국기원
까치산,135553,4518,★★,기타,일반생활권,기타,
양재,134859,4495,★★,업무지구형,업무지구,업무지구형,"서리풀공원, 양재시민의숲, 매헌 윤봉길의사 기념관"
광명사거리,129885,4330,★★,기타,일반생활권,기타,광명전통시장
강남,129175,4306,★★,업무지구형,업무지구,업무지구형,국기원
압구정,123729,4124,★★,기타,일반생활권,기타,도산공원
봉천,123717,4124,★★,기타,일반생활권,기타,관악산 등산로
사당,122277,4076,★★,환승거점형,환승거점,환승거점형,
홍제,121817,4061,★★,기타,일반생활권,기타,"인왕산공원, 무악재"
화곡,120680,4023,★★,기타,일반생활권,기타,
혜화,115699,3857,★★,기타,일반생활권,기타,"마로니에공원, 낙산공원, 대학로문화거리"
동대문,115144,3838,★★★★,시장형,전통시장/상권,시장형,"흥인지문, 청계천, 동대문시장, 흥인지문(동대문)"
종각,112920,3764,★★,업무지구형,업무지구,업무지구형,"보신각, 청계천, 인사동길"
남부터미널,109658,3655,★★,기타,일반생활권,기타,"예술의전당, 국립국악원"
잠실,108594,3620,★★★,관광형,관광지,관광형,"석촌호수공원, 롯데월드타워, 롯데월드"
고속터미널,108363,3612,★★,환승거점형,환승거점,환승거점형,"세빛섬, 반포한강공원"
신대방,106646,3555,★★,기타,일반생활권,기타,
