철도운영기관명,선명,역명,출구번호,출구별 주요시설명
서울교통공사,1호선,시청,10,보육정보센터
서울교통공사,1호선,시청,10,프레이저 플래이스
서울교통공사,1호선,시청,10,한성빌딩
서울교통공사,1호선,시청,11,류관순기념관
서울교통공사,1호선,시청,11,적십자병원
서울교통공사,1호선,시청,11,시의회별관
서울교통공사,1호선,시청,11,서울시청 서소문별관
서울교통공사,1호선,시청,11,강북삼성병원
서울교통공사,1호선,시청,11,상업등기소
서울교통공사,1호선,시청,11,창덕여중
서울교통공사,1호선,시청,11,이화여고
서울교통공사,1호선,시청,11,서소문치안센터
서울교통공사,1호선,시청,11,중부등기소
서울교통공사,1호선,시청,11,서울특별시청 서소문별관(다산프라자)
서울교통공사,1호선,시청,12,서울시티투어 버스타는곳
서울교통공사,1호선,시청,12,서울시립미술관
서울교통공사,1호선,시청,12,정동극장
서울교통공사,1호선,시청,12,조선일보사
서울교통공사,1호선,시청,12,서울지방국세청남대문별관
서울교통공사,1호선,시청,12,영국대사관
서울교통공사,1호선,시청,12,대한성공회
서울교통공사,1호선,시청,12,세종문화회관
서울교통공사,1호선,시청,12,덕수궁미술관
서울교통공사,1호선,시청,12,덕수궁
서울교통공사,1호선,시청,12,서울특별시 의회별관
서울교통공사,1호선,시청,12,서울특별시청 서소문별관(다산프라자)
서울교통공사,1호선,시청,12,경향신문사
서울교통공사,1호선,시청,12,코리아나호텔
서울교통공사,1호선,시청,12,제일화재빌딩
서울교통공사,1호선,시청,12,시립미술관
서울교통공사,1호선,시청,2,서울특별시 의회별관
서울교통공사,1호선,시청,2,서울시립미술관
서울교통공사,1호선,시청,2,서울특별시청서소문별관
서울교통공사,1호선,시청,2,경향신문
서울교통공사,1호선,시청,2,정동극장
서울교통공사,1호선,시청,2,경향신문사
서울교통공사,1호선,시청,2,중부등기소
서울교통공사,1호선,시청,2,창덕여중
서울교통공사,1호선,시청,2,덕수궁미술관
서울교통공사,1호선,시청,2,덕수궁
서울교통공사,1호선,시청,3,정부중앙청사
서울교통공사,1호선,시청,3,서울역사박물관
서울교통공사,1호선,시청,3,한국금융사박물관
서울교통공사,1호선,시청,3,코리아나호텔
서울교통공사,1호선,시청,3,조선일보사
서울교통공사,1호선,시청,3,대한성공회
서울교통공사,1호선,시청,3,영국대사관
서울교통공사,1호선,시청,3,세종문화회관
서울교통공사,1호선,시청,3,서울특별시의회
서울교통공사,1호선,시청,3,서울지방국세청남대문별관
서울교통공사,1호선,시청,4,한국정보사회진흥원
서울교통공사,1호선,시청,4,미국대사관
서울교통공사,1호선,시청,4,서울글로벌센터
서울교통공사,1호선,시청,4,프레스센타
서울교통공사,1호선,시청,4,광화문우체국
서울교통공사,1호선,시청,4,대한매일신보사
서울교통공사,1호선,시청,4,동아일보사
서울교통공사,1호선,시청,4,서울글로벌센터
서울교통공사,1호선,시청,4,여성부
서울교통공사,1호선,시청,4,청계광장
서울교통공사,1호선,시청,4,태평로지구대
서울교통공사,1호선,시청,5,코오롱빌딩
서울교통공사,1호선,시청,5,서울시민대학
서울교통공사,1호선,시청,5,국가인권위원회
서울교통공사,1호선,시청,5,서울특별시청
서울교통공사,1호선,시청,5,서울광장
서울교통공사,1호선,시청,6,롯데호텔
서울교통공사,1호선,시청,6,소공동방면
서울교통공사,1호선,시청,6,을지로세무서
서울교통공사,1호선,시청,7,소공동 행정복지센터
서울교통공사,1호선,시청,7,한국은행본점
서울교통공사,1호선,시청,7,남대문시장
서울교통공사,1호선,시청,8,남대문시장
서울교통공사,1호선,시청,8,신한은행 본점
서울교통공사,1호선,시청,8,군의문사 진상 규명 위원회
서울교통공사,1호선,시청,8,한국산업안전공단
서울교통공사,1호선,시청,8,삼성본관
서울교통공사,1호선,시청,8,대한상공회의소
서울교통공사,1호선,시청,8,삼성플라자
서울교통공사,1호선,시청,9,중앙일보
서울교통공사,1호선,시청,9,염천교 방면
서울교통공사,1호선,시청,9,대한통운㈜
서울교통공사,1호선,시청,9,SC제일은행 서소문지점
서울교통공사,1호선,시청,9,부영
서울교통공사,1호선,시청,9,외환은행 서소문지점
서울교통공사,1호선,시청,9,중앙일보사
서울교통공사,1호선,시청,9,호암아트홀
서울교통공사,1호선,신설동,1,수도학원
서울교통공사,1호선,신설동,1,대광초등학교
서울교통공사,1호선,신설동,1,대광중/고교
서울교통공사,1호선,신설동,1,국민은행보문동지점
서울교통공사,1호선,신설동,1,대광중/고등학교
서울교통공사,1호선,신설동,10,신설동종합시장
서울교통공사,1호선,신설동,10,신설동 행정복지센터
서울교통공사,1호선,신설동,10,서울풍물시장
서울교통공사,1호선,신설동,10,동대문우체국
서울교통공사,1호선,신설동,10,동대문도서관
서울교통공사,1호선,신설동,11,우리은행신설동지점
서울교통공사,1호선,신설동,11,힐스테이트
서울교통공사,1호선,신설동,12,보문동 방면
서울교통공사,1호선,신설동,12,동대문세무서별관
서울교통공사,1호선,신설동,2,신설치안센터
서울교통공사,1호선,신설동,2,남서울평생교육원
서울교통공사,1호선,신설동,2,비타에듀학원
서울교통공사,1호선,신설동,2,신설 파출소
서울교통공사,1호선,신설동,3,제일화재빌딩
서울교통공사,1호선,신설동,3,한국의류시험연구원
서울교통공사,1호선,신설동,3,한국미용직업전문학교
서울교통공사,1호선,신설동,3,용두시장
서울교통공사,1호선,신설동,4,용두2동 행정복지센터
서울교통공사,1호선,신설동,4,용두초등학교
서울교통공사,1호선,신설동,4,동서울병원
서울교통공사,1호선,신설동,4,동대문등기소
서울교통공사,1호선,신설동,5,기아자동차동대문지점
서울교통공사,1호선,신설동,5,교보재단
서울교통공사,1호선,신설동,5,국민연금동대문중랑지사
서울교통공사,1호선,신설동,5,기업은행신설동지점
서울교통공사,1호선,신설동,5,동대문 도서관
서울교통공사,1호선,신설동,5,동대문 우체국
서울교통공사,1호선,신설동,6,신궁전웨딩홀
서울교통공사,1호선,신설동,6,신설동 행정복지센터
서울교통공사,1호선,신설동,6,우산각공원
서울교통공사,1호선,신설동,6,이마트황학점
서울교통공사,1호선,신설동,6,하나은행
서울교통공사,1호선,신설동,6,외환은행
서울교통공사,1호선,신설동,6,농협
서울교통공사,1호선,신설동,6,성북수도사업소
서울교통공사,1호선,신설동,6,서울풍물시장
서울교통공사,1호선,신설동,6,고려학원
서울교통공사,1호선,신설동,6,청계천
서울교통공사,1호선,신설동,6,동대문 도서관
서울교통공사,1호선,신설동,6,서울교수학습지원센터
서울교통공사,1호선,신설동,6,아름다운가게
서울교통공사,1호선,신설동,6,신설동종합시장
서울교통공사,1호선,신설동,6,동대문 우체국
서울교통공사,1호선,신설동,7,동대문 베르빌 오피스텔
서울교통공사,1호선,신설동,7,동대문등기소
서울교통공사,1호선,신설동,8,동부시립병원
서울교통공사,1호선,신설동,8,용두2동 행정복지센터
서울교통공사,1호선,신설동,8,용두동 행정복지센터
서울교통공사,1호선,신설동,8,용두초등학교
서울교통공사,1호선,신설동,9,숭인중학교
서울교통공사,1호선,신설동,9,서울교수학습지원센터
서울교통공사,1호선,신설동,9,서울풍물시장
서울교통공사,1호선,제기동,1,고려대학교
서울교통공사,1호선,제기동,1,브라운스톤아파트
서울교통공사,1호선,제기동,1,동대문종합사회복지관
서울교통공사,1호선,제기동,1,종암초등학교
서울교통공사,1호선,제기동,1,용두시장
서울교통공사,1호선,제기동,1,제기동2동 행정복지센터
서울교통공사,1호선,제기동,1,용두 파출소
서울교통공사,1호선,제기동,1,두산베어스타워
서울교통공사,1호선,제기동,1,도서출판성각
서울교통공사,1호선,제기동,1,성일중학교
서울교통공사,1호선,제기동,2,현대아파트
서울교통공사,1호선,제기동,2,한솔동의보감
서울교통공사,1호선,제기동,2,불로장생타워
서울교통공사,1호선,제기동,2,경동대성빌딩
서울교통공사,1호선,제기동,2,동일빌딩
서울교통공사,1호선,제기동,2,미주아파트
서울교통공사,1호선,제기동,2,경동시장
서울교통공사,1호선,제기동,2,약령시장
서울교통공사,1호선,제기동,3,한방천하
서울교통공사,1호선,제기동,3,동대문구청
서울교통공사,1호선,제기동,3,동의보감타워
서울교통공사,1호선,제기동,3,국민건강보험공단
서울교통공사,1호선,제기동,3,경동웨딩프라자
서울교통공사,1호선,제기동,3,동대문보건소
서울교통공사,1호선,제기동,3,우편취급소
서울교통공사,1호선,제기동,3,용두동포스빌
서울교통공사,1호선,제기동,3,용두1 행정복지민센터
서울교통공사,1호선,제기동,3,성동구청
서울교통공사,1호선,제기동,4,롯데캐슬피렌체
서울교통공사,1호선,제기동,5,정릉천
서울교통공사,1호선,제기동,6,국민건강보험공단
