역명,엘리베이터,에스컬레이터,화장실개수,출구개수
가락시장,9,34,3,9
가산디지털단지,4,14,1,7
강남,4,0,1,12
강남구청,2,7,1,4
강동,3,10,1,4
강동구청,3,5,1,5
강변,2,2,1,4
강일,8,16,2,0
개롱,3,2,1,4
개화산,2,0,1,2
거여,3,3,1,8
건대입구,4,13,2,6
경복궁,2,10,1,8
경찰병원,4,20,2,4
고덕,4,6,1,5
고려대,4,12,1,6
고속터미널,4,45,1,10
공덕,7,17,2,10
공릉,3,8,1,4
광나루,4,4,1,4
광명사거리,3,2,1,10
광화문,2,4,1,9
광흥창,3,9,1,6
교대,5,6,2,14
구로디지털단지,4,4,1,6
구리,0,0,0,4
구산,1,4,1,4
구의,2,6,1,4
구파발,2,4,1,4
군자,4,14,1,8
굽은다리,3,4,1,4
금호,3,6,1,4
길동,3,3,1,3
길음,3,3,1,10
김포공항,2,8,2,4
까치산,2,12,1,4
낙성대,3,8,1,8
남구로,0,12,1,6
남부터미널,3,2,1,8
남성,4,14,1,4
남위례,3,7,1,0
남태령,3,2,1,4
남한산성입구,2,4,1,4
내방,5,10,1,8
노원,7,23,2,10
녹번,3,2,1,5
녹사평,3,13,1,4
논현,3,19,2,10
다산,0,0,0,6
단대오거리,3,6,1,7
답십리,4,4,1,8
당고개,3,4,2,4
당산,4,1,1,13
대림,7,19,2,12
대청,3,4,1,8
대치,2,8,1,8
대흥,2,6,1,4
도곡,0,8,1,4
도림천,2,0,1,2
도봉산,5,0,2,2
독립문,2,8,1,5
독바위,2,8,1,1
돌곶이,3,4,1,8
동구릉,0,0,0,5
동대문,5,11,2,10
동대문역사문화공원,7,13,4,14
동대입구,4,4,1,6
동묘앞,9,24,5,10
동작,2,0,1,9
둔촌동,3,3,1,4
디지털미디어시티,3,8,2,9
뚝섬,4,8,1,8
뚝섬유원지,0,0,1,0
마곡,6,12,1,4
마들,4,8,1,8
마장,3,4,1,4
마천,3,10,1,2
마포,2,10,1,4
마포구청,4,12,2,8
망원,2,2,1,2
매봉,3,4,1,4
먹골,3,6,1,7
면목,3,6,1,3
명동,2,5,1,10
명일,3,2,1,4
모란,3,2,1,12
목동,3,4,1,8
몽촌토성,4,8,1,5
무악재,3,0,1,4
문래,4,4,1,7
문정,4,8,2,4
미사,4,22,2,0
미아,3,6,1,8
미아사거리,2,2,1,6
반포,4,6,1,6
발산,3,0,1,9
방배,3,2,1,4
방이,4,2,1,4
방화,3,6,1,4
버티고개,5,4,1,3
별내,0,0,0,5
보라매,2,4,1,8
보문,1,2,1,8
복정,1,5,1,4
봉천,2,8,1,6
봉화산,4,4,1,5
불광,7,14,2,9
사가정,3,10,1,4
사당,5,21,5,14
산성,4,13,1,3
삼각지,10,8,2,14
삼성,5,4,1,8
상계,1,4,1,5
상도,3,11,1,5
상봉,5,6,1,8
상수,3,10,1,4
상왕십리,3,8,1,7
상월곡,1,6,1,4
상일동,4,16,1,4
새절,3,4,1,4
서대문,3,10,1,8
서울,6,9,2,16
서울대입구,3,8,1,8
서초,4,8,1,8
석계,4,14,2,0
석촌,3,0,1,8
선릉,3,2,1,10
성수,4,8,1,4
성신여대입구,4,4,1,7
송정,4,4,1,4
송파,4,4,1,4
수락산,3,7,1,6
수서,4,12,1,7
수유,3,4,1,8
수진,3,0,1,4
숙대입구,3,0,1,10
숭실대입구,4,12,1,4
시청,5,7,3,12
신금호,3,12,1,5
신길,6,9,1,0
신내,1,2,0,0
신답,2,0,1,1
신당,4,16,2,12
신대방,3,8,1,4
신대방삼거리,4,12,1,6
신도림,4,9,2,0
신림,3,8,1,8
신사,4,6,1,8
신설동,7,0,2,12
신용산,4,9,1,6
신정,2,10,1,5
신정네거리,3,4,1,4
신촌,4,4,1,8
신풍,4,4,1,6
신흥,2,0,1,4
