역명,출구개수,화장실개수,엘리베이터,TE(화장실/출구),LE(엘리베이터/출구),"H(조화평균, TE·LE)"
봉화산,5,1,4,0.2,0.8,0.32
종로3가,16,4,7,0.25,0.44,0.32
공덕,10,2,7,0.2,0.7,0.31
노원,10,2,7,0.2,0.7,0.31
시청,12,3,5,0.25,0.42,0.31
합정,10,2,7,0.2,0.7,0.31
강동구청,5,1,3,0.2,0.6,0.3
녹번,5,1,3,0.2,0.6,0.3
상도,5,1,3,0.2,0.6,0.3
신금호,5,1,3,0.2,0.6,0.3
아차산,5,1,3,0.2,0.6,0.3
약수,10,2,6,0.2,0.6,0.3
월곡,5,1,3,0.2,0.6,0.3
동대문,10,2,5,0.2,0.5,0.29
이촌,6,1,5,0.17,0.83,0.28
고려대,6,1,4,0.17,0.67,0.27
구로디지털단지,6,1,4,0.17,0.67,0.27
독립문,5,1,2,0.2,0.4,0.27
동대입구,6,1,4,0.17,0.67,0.27
디지털미디어시티,9,2,3,0.22,0.33,0.27
반포,6,1,4,0.17,0.67,0.27
신대방삼거리,6,1,4,0.17,0.67,0.27
신용산,6,1,4,0.17,0.67,0.27
신정,5,1,2,0.2,0.4,0.27
신풍,6,1,4,0.17,0.67,0.27
압구정,6,1,4,0.17,0.67,0.27
어린이대공원,6,1,4,0.17,0.67,0.27
을지로4가,10,2,4,0.2,0.4,0.27
종합운동장,9,2,3,0.22,0.33,0.27
충정로,10,2,4,0.2,0.4,0.27
대림,12,2,7,0.17,0.58,0.26
신설동,12,2,7,0.17,0.58,0.26
잠실,12,2,7,0.17,0.58,0.26
광흥창,6,1,3,0.17,0.5,0.25
구산,4,1,1,0.25,0.25,0.25
복정,4,1,1,0.25,0.25,0.25
상월곡,4,1,1,0.25,0.25,0.25
수락산,6,1,3,0.17,0.5,0.25
이대,6,1,3,0.17,0.5,0.25
장승배기,6,1,3,0.17,0.5,0.25
제기동,6,1,3,0.17,0.5,0.25
중계,6,1,3,0.17,0.5,0.25
하계,6,1,3,0.17,0.5,0.25
논현,10,2,3,0.2,0.3,0.24
삼각지,14,2,10,0.14,0.71,0.24
화랑대,7,1,5,0.14,0.71,0.24
가산디지털단지,7,1,4,0.14,0.57,0.23
문래,7,1,4,0.14,0.57,0.23
성신여대입구,7,1,4,0.14,0.57,0.23
수서,7,1,4,0.14,0.57,0.23
일원,7,1,4,0.14,0.57,0.23
미아사거리,6,1,2,0.17,0.33,0.22
봉천,6,1,2,0.17,0.33,0.22
신당,12,2,4,0.17,0.33,0.22
안국,6,1,2,0.17,0.33,0.22
여의도,6,1,2,0.17,0.33,0.22
을지로3가,12,2,4,0.17,0.33,0.22
청량리,6,1,2,0.17,0.33,0.22
효창공원앞,6,1,2,0.17,0.33,0.22
내방,8,1,5,0.12,0.62,0.21
단대오거리,7,1,3,0.14,0.43,0.21
먹골,7,1,3,0.14,0.43,0.21
삼성,8,1,5,0.12,0.62,0.21
상봉,8,1,5,0.12,0.62,0.21
상왕십리,7,1,3,0.14,0.43,0.21
