경로_승객수,국가유공자_승객수,기준일자,대학생_승객수,승차_역,승차_호선,어린이_승객수,외국인경로_승객수,일반_승객수,장애인_승객수,직원_승객수,청소년_승객수,총_승객수,하차_역,하차_호선
418,5,2023-12-31,0,창동,4호선,92,0,1064,68,0,122,1769,노원,4호선
417,3,2023-12-31,0,노원,4호선,66,0,910,55,0,69,1520,창동,4호선
417,1,2023-12-31,0,철산,7호선,23,1,275,47,0,39,803,광명사거리,7호선
370,3,2023-12-31,0,광명사거리,7호선,37,0,360,40,0,66,876,철산,7호선
357,2,2023-12-31,0,수유(강북구청),4호선,18,0,658,44,0,38,1117,창동,4호선
349,1,2023-12-31,0,연신내,3호선,93,1,729,44,0,89,1306,구파발,3호선
347,0,2023-12-31,0,구파발,3호선,82,2,754,55,0,127,1367,연신내,3호선
343,3,2023-12-31,0,불광,3호선,17,0,355,51,0,26,795,연신내,3호선
343,3,2023-12-31,0,쌍문,4호선,13,0,445,44,0,22,870,창동,4호선
341,3,2023-12-31,0,동묘앞,1호선,1,1,44,40,0,0,430,제기동,1호선
340,2,2023-12-31,0,잠실(송파구청),2호선,179,0,2243,30,0,220,3014,잠실새내,2호선
325,1,2023-12-31,0,미아사거리,4호선,42,0,813,59,0,76,1316,수유(강북구청),4호선
324,3,2023-12-31,0,잠실새내,2호선,172,0,1920,35,0,158,2612,잠실(송파구청),2호선
321,3,2023-12-31,0,연신내,3호선,8,0,332,42,0,15,721,불광,3호선
319,1,2023-12-31,0,미아사거리,4호선,17,0,307,47,0,13,704,미아(서울사이버대학),4호선
317,4,2023-12-31,0,수락산,7호선,70,0,995,47,0,90,1523,노원,7호선
316,8,2023-12-31,0,창동,4호선,17,0,416,41,0,16,814,쌍문,4호선
313,3,2023-12-31,0,미아(서울사이버대학),4호선,17,0,315,40,0,19,707,미아사거리,4호선
308,4,2023-12-31,0,수유(강북구청),4호선,77,0,1925,73,0,151,2538,노원,4호선
305,2,2023-12-31,0,창동,4호선,26,1,621,42,0,56,1053,수유(강북구청),4호선
300,4,2023-12-31,0,노원,7호선,39,0,758,47,0,45,1193,수락산,7호선
295,0,2023-12-31,0,암사,8호선,66,1,614,51,0,31,1058,천호(풍납토성),8호선
287,2,2023-12-31,0,노원,4호선,79,0,598,48,0,66,1080,상계,4호선
281,1,2023-12-31,0,상계,4호선,119,0,870,68,0,117,1456,노원,4호선
279,2,2023-12-31,0,노원,7호선,86,0,740,59,0,80,1246,하계,7호선
278,4,2023-12-31,0,광명사거리,7호선,24,1,338,38,0,18,701,천왕,7호선
275,1,2023-12-31,0,수유(강북구청),4호선,35,0,623,64,0,45,1043,미아사거리,4호선
269,5,2023-12-31,0,노원,4호선,71,1,1571,61,0,123,2101,수유(강북구청),4호선
267,10,2023-12-31,0,종로3가,1호선,24,0,567,67,0,23,958,종로3가,1호선
267,0,2023-12-31,0,하계,7호선,102,0,879,45,0,105,1398,노원,7호선
