ID,MLSFC_NM,POI_ID,POI_NM,CL_CD,CL_NM,CTPRVN_NM,SIGNGU_NM,위도,경도
37,문화시설,1033186,장명숙갤러리,100106,소형갤러리,서울특별시,종로구,37.58108093,126.9854426
38,문화시설,1033187,정동1928아트센터,100203,공연/연극/문화센터,서울특별시,중구,37.56797553,126.9738456
39,문화시설,1033189,조형갤러리,100106,소형갤러리,서울특별시,종로구,37.57312527,126.9851678
40,문화시설,1033192,케이앤갤러리,100106,소형갤러리,서울특별시,강남구,37.52318218,127.0469082
41,문화시설,1033228,사보갤러리,100106,소형갤러리,서울특별시,송파구,37.5023836,127.1102131
42,문화시설,1033235,코즈모갤러리,100106,소형갤러리,서울특별시,강남구,37.5212065,127.022698
43,문화시설,1033237,글라스갤러리,100106,소형갤러리,서울특별시,금천구,37.45355,126.9014228
44,문화시설,1033245,갤러리나요,100106,소형갤러리,서울특별시,강남구,37.52485507,127.0375316
45,문화시설,1033249,57TH갤러리,100106,소형갤러리,서울특별시,종로구,37.57641554,126.9826329
46,문화시설,1033251,갤러리도스,100106,소형갤러리,서울특별시,종로구,37.58377758,126.9797085
47,문화시설,1033252,갤러리두루,100106,소형갤러리,서울특별시,용산구,37.53607472,126.9945017
48,문화시설,1033254,명동갤러리,100106,소형갤러리,서울특별시,중구,37.56190042,126.9870292
49,문화시설,1033256,아이오갤러리,100106,소형갤러리,서울특별시,용산구,37.53568559,126.9942023
50,문화시설,1033257,아트갤러리,100106,소형갤러리,서울특별시,마포구,37.54835317,126.9254574
51,문화시설,1033258,올갤러리,100106,소형갤러리,서울특별시,종로구,37.57378708,126.9854044
52,문화시설,1033259,제이갤러리,100106,소형갤러리,서울특별시,종로구,37.57565444,126.9855379
53,문화시설,1033264,LF갤러리,100106,소형갤러리,서울특별시,강남구,37.52877472,127.0332268
54,문화시설,1033265,LEEC갤러리,100106,소형갤러리,서울특별시,종로구,37.58252097,126.980474
55,문화시설,1033266,OVOCO갤러리,100106,소형갤러리,서울특별시,성북구,37.59685268,126.9957255
56,문화시설,1033267,PKM갤러리,100106,소형갤러리,서울특별시,강남구,37.5269207,127.0424335
57,문화시설,1033269,갤러리AG,100106,소형갤러리,서울특별시,영등포구,37.48739611,126.9046374
58,문화시설,1033270,갤러리MOOK,100106,소형갤러리,서울특별시,강남구,37.52563709,127.0393989
59,문화시설,1033271,갤러리나비,100106,소형갤러리,서울특별시,마포구,37.54932602,126.9205383
60,문화시설,1033272,갤러리미앙헌,100106,소형갤러리,서울특별시,종로구,37.5781836,126.981088
61,문화시설,1033273,갤러리미즈,100106,소형갤러리,서울특별시,종로구,37.57568486,126.9859003
62,문화시설,1033275,갤러리상,100106,소형갤러리,서울특별시,종로구,37.57231837,126.9865106
63,문화시설,1033277,갤러리세인,100106,소형갤러리,서울특별시,강남구,37.51919576,127.0508048
64,문화시설,1033278,갤러리스케이프,100106,소형갤러리,서울특별시,용산구,37.53524479,127.0102527
65,문화시설,1033280,갤러리연,100106,소형갤러리,서울특별시,강남구,37.52674144,127.0414646
66,문화시설,1033281,갤러리예맥,100106,소형갤러리,서울특별시,광진구,37.53836263,127.0709717
67,문화시설,1033286,대학로갤러리,100106,소형갤러리,서울특별시,종로구,37.58187223,127.0025612
68,문화시설,1033287,리서울갤러리,100106,소형갤러리,서울특별시,종로구,37.57275144,126.9866288
69,문화시설,1033289,봄갤러리,100106,소형갤러리,서울특별시,강남구,37.52705218,127.0462368
70,문화시설,1033290,비컨갤러리,100106,소형갤러리,서울특별시,용산구,37.52409857,126.9715292
71,문화시설,1033292,송스갤러리,100106,소형갤러리,서울특별시,강남구,37.51535998,127.0533091
72,문화시설,1033293,신한갤러리,100106,소형갤러리,서울특별시,중구,37.56864694,126.9764396
73,문화시설,1033295,씨티갤러리,100106,소형갤러리,서울특별시,강남구,37.52455944,127.0422294
74,문화시설,1033297,이뎀갤러리,100106,소형갤러리,서울특별시,강남구,37.52455944,127.0422294
75,문화시설,1033298,코너갤러리,100106,소형갤러리,서울특별시,종로구,37.57951686,126.9840464
76,문화시설,1033300,화봉갤러리,100106,소형갤러리,서울특별시,종로구,37.57312527,126.9851678
77,문화시설,1033303,153갤러리,100106,소형갤러리,서울특별시,서초구,37.50380002,127.0105325
78,문화시설,1033305,갤러리2000,100106,소형갤러리,서울특별시,종로구,37.57276671,126.9862226
79,문화시설,1033306,갤러리대아,100106,소형갤러리,서울특별시,종로구,37.57326447,126.9853204
80,문화시설,1033307,갤러리마노,100106,소형갤러리,서울특별시,서초구,37.48112722,127.013498
81,문화시설,1033322,미아불교전시관,100103,기타전시/박물관,서울특별시,성북구,37.60221781,127.0219499
82,문화시설,1033357,다문화박물관,100103,기타전시/박물관,서울특별시,은평구,37.61881099,126.9324968
83,문화시설,1033365,분재박물관,100103,기타전시/박물관,서울특별시,서초구,37.45350589,127.0754829
84,문화시설,1033379,총포박물관,100103,기타전시/박물관,서울특별시,종로구,37.58378173,126.9824157
85,문화시설,1033390,상명대학교박물관,100103,기타전시/박물관,서울특별시,종로구,37.61054018,126.9759464
86,문화시설,1033394,육의전박물관,100103,기타전시/박물관,서울특별시,종로구,37.57052166,126.9890931
87,문화시설,1033401,한국현대의상박물관,100103,기타전시/박물관,서울특별시,종로구,37.57546352,127.0055099
88,문화시설,1033405,문화교회30주년기념관,100102,대형기념관/묘역,서울특별시,중구,37.56210034,127.0183994
89,문화시설,1033429,국기원기념관,100102,대형기념관/묘역,서울특별시,강남구,37.50174168,127.0308382
90,문화시설,1033431,백상기념관,100102,대형기념관/묘역,서울특별시,종로구,37.57609703,126.9826369
91,문화시설,1033439,한국기독교선교기념관,100102,대형기념관/묘역,서울특별시,마포구,37.54652044,126.9113448
92,문화시설,1034343,남산야외음악당,100203,공연/연극/문화센터,서울특별시,중구,37.55500922,126.9790143
93,문화시설,1034347,유림아트홀,100203,공연/연극/문화센터,서울특별시,강남구,37.52333309,127.0266672
94,문화시설,1034350,신한아트홀,100203,공연/연극/문화센터,서울특별시,강남구,37.51768908,127.0358225
95,문화시설,1034352,샘아트홀,100203,공연/연극/문화센터,서울특별시,종로구,37.58298993,127.0025688
96,문화시설,1034359,코엑스아트홀,100203,공연/연극/문화센터,서울특별시,강남구,37.51138122,127.0606428
97,문화시설,1034361,키득키득아트홀,100203,공연/연극/문화센터,서울특별시,종로구,37.58132147,127.0042862
98,문화시설,1034362,서초아트홀,100203,공연/연극/문화센터,서울특별시,서초구,37.5010515,127.0116425
