CTPRVN_NM,SIGNGU_NM,SIGNGU_CD,POPLTN_CO,CL_NM,N10S_CLTUR_IDEX_VALUE,N20S_CLTUR_IDEX_VALUE,N30S_CLTUR_IDEX_VALUE,N40S_CLTUR_IDEX_VALUE,N50S_CLTUR_IDEX_VALUE,N60S_CLTUR_IDEX_VALUE,N70S_CLTUR_IDEX_VALUE,FILE_NM,BASE_DE
서울특별시,강남구,11680,525205,연극장,1107.6,1872.0,1326.0,1170.0,702.0,390.0,358.8,KC_599_AGE_CLT_STATN_BIZAEA_2024,20250612
서울특별시,강동구,11740,390190,연극장,71.0,120.0,85.0,75.0,45.0,25.0,23.0,KC_599_AGE_CLT_STATN_BIZAEA_2024,20250612
서울특별시,강북구,11305,262562,연극장,92.3,156.0,110.5,97.5,58.5,32.5,29.9,KC_599_AGE_CLT_STATN_BIZAEA_2024,20250612
서울특별시,강서구,11500,505859,연극장,120.7,204.0,144.5,127.5,76.5,42.5,39.1,KC_599_AGE_CLT_STATN_BIZAEA_2024,20250612
서울특별시,관악구,11620,494294,연극장,113.6,192.0,136.0,120.0,72.0,40.0,36.8,KC_599_AGE_CLT_STATN_BIZAEA_2024,20250612
서울특별시,광진구,11215,346378,연극장,220.1,372.0,263.5,232.5,139.5,77.5,71.3,KC_599_AGE_CLT_STATN_BIZAEA_2024,20250612
서울특별시,구로구,11530,425199,연극장,99.4,168.0,119.0,105.0,63.0,35.0,32.2,KC_599_AGE_CLT_STATN_BIZAEA_2024,20250612
서울특별시,금천구,11545,252871,연극장,78.1,132.0,93.5,82.5,49.5,27.5,25.3,KC_599_AGE_CLT_STATN_BIZAEA_2024,20250612
서울특별시,노원구,11350,428220,연극장,78.1,132.0,93.5,82.5,49.5,27.5,25.3,KC_599_AGE_CLT_STATN_BIZAEA_2024,20250612
서울특별시,도봉구,11320,270437,연극장,49.7,84.0,59.5,52.5,31.5,17.5,16.1,KC_599_AGE_CLT_STATN_BIZAEA_2024,20250612
서울특별시,동대문구,11230,357334,연극장,113.6,192.0,136.0,120.0,72.0,40.0,36.8,KC_599_AGE_CLT_STATN_BIZAEA_2024,20250612
