연도,CTPRVN_NM,SIGNGU_NM,SIGNGU_CD,POPLTN_CO,CL_NM,N10S_CLTUR_IDEX_VALUE,N20S_CLTUR_IDEX_VALUE,N30S_CLTUR_IDEX_VALUE,N40S_CLTUR_IDEX_VALUE,N50S_CLTUR_IDEX_VALUE,N60S_CLTUR_IDEX_VALUE,N70S_CLTUR_IDEX_VALUE,FILE_NM,BASE_DE
2019,서울특별시,노원구,11350,454708,공연장,69.91999999999999,82.24,62.40000000000001,44.48,43.04,39.36,30.56000000000001,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,중구,11140,139469,공연장,340.86,400.92,304.20000000000005,216.84000000000003,209.82,191.88,148.98000000000005,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,성동구,11200,277683,공연장,209.76,246.72,187.20000000000005,133.44,129.12,118.08,91.68000000000004,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,강서구,11500,502947,공연장,17.479999999999997,20.56,15.600000000000003,11.12,10.76,9.84,7.640000000000002,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,마포구,11440,347364,공연장,812.8199999999998,956.04,725.4000000000002,517.08,500.34,457.56,355.2600000000001,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,양천구,11470,385006,공연장,61.17999999999999,71.96,54.60000000000001,38.92,37.66,34.44,26.74000000000001,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,용산구,11170,234036,공연장,183.54,215.88,163.80000000000004,116.76,112.98,103.32,80.22000000000003,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,광진구,11215,340406,공연장,139.83999999999995,164.48,124.80000000000004,88.96000000000001,86.08,78.72,61.12000000000002,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,금천구,11545,244507,공연장,43.69999999999999,51.4,39.00000000000001,27.800000000000004,26.9,24.6,19.100000000000005,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
2019,서울특별시,강북구,11305,271739,공연장,52.43999999999999,61.67999999999999,46.80000000000001,33.36,32.28,29.52,22.92000000000001,KC_599_AGE_CLT_STATN_BIZAEA_2019,20200220
