,시간이 없어서,경제적 여유가 없어서,무엇을 해야할지 몰라서,어떻게 해야하는지 몰라서,기관이멀어서,건강이좋지않아서,함께 할 사람이 없어서
시간이 없어서,1.0,-0.0032210427151668514,-0.32701325610737797,-0.88621348531496,0.14197528136443313,-0.7194511907686785,-0.08096969399221879
경제적 여유가 없어서,-0.0032210427151668514,1.0,-0.29260855535534996,-0.005569391158590602,-0.0810260686268843,-0.3471435736322121,0.6715426359590777
무엇을 해야할지 몰라서,-0.32701325610737797,-0.29260855535534996,1.0,0.04781856348672927,0.14948693729859736,0.04558206913953148,0.005607024635891808
어떻게 해야하는지 몰라서,-0.88621348531496,-0.005569391158590602,0.04781856348672927,1.0,-0.20807602388181326,0.5974081610195096,0.03706470612293336
기관이멀어서,0.14197528136443313,-0.0810260686268843,0.14948693729859736,-0.20807602388181326,1.0,-0.4251980527492494,0.11125547393434439
건강이좋지않아서,-0.7194511907686785,-0.3471435736322121,0.04558206913953148,0.5974081610195096,-0.4251980527492494,1.0,-0.4156440306015016
함께 할 사람이 없어서,-0.08096969399221879,0.6715426359590777,0.005607024635891808,0.03706470612293336,0.11125547393434439,-0.4156440306015016,1.0
