자치구,시설명,최근접_역명,최근접_역_호선,최근접_역_위도,최근접_역_경도,시설유형,시설위도,시설경도,최근접_역까지_m
강남구,갤러리화이트원,청담,7,37.519097,127.051851,소형갤러리,37.52393071,127.0533088,552.6465103
강남구,갤러리화인아츠,압구정,3,37.526169,127.028502,소형갤러리,37.52581189,127.0280381,57.01212282
강남구,거락,압구정,3,37.526169,127.028502,소형갤러리,37.52352956,127.0223853,614.0911126
강남구,거암아트홀,신사,3,37.516438,127.020247,N,37.51959614,127.0190752,366.0607741
강남구,공간4567,매봉,3,37.487114,127.046907,공연/연극/문화센터,37.48292597,127.0460876,471.2666194
강남구,관세박물관,학동,7,37.514262,127.031738,기타전시/박물관,37.51840444,127.0344129,517.520357
강남구,광대무변,강남구청,7,37.517185,127.04122,공연/연극/문화센터,37.52221866,127.0411967,559.7212266
강남구,광림아트센터,압구정,3,37.526169,127.028502,N,37.52392671,127.0254291,368.2417886
강남구,광림아트센터BBCH홀,압구정,3,37.526169,127.028502,공연/연극/문화센터,37.5240683,127.0252916,367.0391182
강남구,광림아트센터장천홀,압구정,3,37.526169,127.028502,N,37.52426827,127.026404,280.8924365
강남구,광야아트센터,강남구청,7,37.517185,127.04122,공연/연극/문화센터,37.52389023,127.0396447,758.4209223
강남구,교동갤러리,신사,3,37.516438,127.020247,소형갤러리,37.51664588,127.0232701,267.6294175
강남구,구린파인아트갤러리,강남구청,7,37.517185,127.04122,소형갤러리,37.51847451,127.037174,384.5708636
강남구,구하갤러리,신사,3,37.516438,127.020247,소형갤러리,37.51669286,127.0235206,290.1101136
강남구,국기원기념관,역삼,2,37.500658,127.03643,대형기념관/묘역,37.50174168,127.0308382,507.7877956
강남구,국제가정용품및건강산업박람회,학여울,3,37.496757,127.070541,기타전시/박물관,37.49546214,127.0717628,179.8589493
강남구,국제건강산업박람회,삼성,2,37.508827,127.063203,기타전시/박물관,37.51086872,127.0599898,363.13856
강남구,국제스마트그리드및전기설비전,삼성,2,37.508827,127.063203,기타전시/박물관,37.51068323,127.0594856,387.4495713
강남구,국제영어교육박람회,학여울,3,37.496757,127.070541,기타전시/박물관,37.49544686,127.0717504,180.5734311
강남구,국제예술대학교아트센터,학동,7,37.514262,127.031738,N,37.51766083,127.0313162,379.7592298
강남구,국제콘서트홀,학동,7,37.514262,127.031738,공연/연극/문화센터,37.51686901,127.0306858,304.37863
강남구,귀농귀촌도시민유치박람회,삼성,2,37.508827,127.063203,기타전시/박물관,37.51083162,127.0600007,359.8186683
강남구,글로벌비즈익시비션,선릉,2,37.504257,127.048174,기타전시/박물관,37.50662197,127.0546273,627.055339
강남구,금촌갤러리,매봉,3,37.487114,127.046907,소형갤러리,37.48929242,127.0509583,431.7929107
강남구,기아360,강남구청,7,37.517185,127.04122,기타전시/박물관,37.52758579,127.0428012,1164.89163
강남구,김혜정아뜰리에미술학원,매봉,3,37.487114,127.046907,미술관,37.48540317,127.0377864,826.9184498
강남구,나이롱갤러리,논현,7,37.511108,127.021385,소형갤러리,37.51368958,127.0210346,288.7175496
강남구,넵스아트갤러리,학동,7,37.514262,127.031738,소형갤러리,37.51998372,127.0304791,645.8418138
강남구,노블레스컬렉션,강남구청,7,37.517185,127.04122,소형갤러리,37.52705189,127.0416782,1097.892008
강남구,니뚜찌갤러리,논현,7,37.511108,127.021385,소형갤러리,37.51251651,127.0252651,376.3709829
강남구,다도화랑,압구정,3,37.526169,127.028502,미술관,37.52301653,127.0261274,408.326126
강남구,단코스튜디오,역삼,2,37.500658,127.03643,공연/연극/문화센터,37.49933927,127.0428801,587.5983441
강남구,대치갤러리,삼성,2,37.508827,127.063203,소형갤러리,37.50659401,127.0652926,309.2328351
강남구,대한무역진흥공사자료실,삼성,2,37.508827,127.063203,기타전시/박물관,37.51040826,127.06085,272.0137895
강남구,대한민국벤처대전,학여울,3,37.496757,127.070541,기타전시/박물관,37.49586593,127.0721044,169.8253726
강남구,대한민국세계여성발명대회및여성발명품박람회,역삼,2,37.500658,127.03643,기타전시/박물관,37.5000423,127.0330542,305.5693693
강남구,대한민국창업대전,학여울,3,37.496757,127.070541,기타전시/박물관,37.49588738,127.0721042,168.4304734
강남구,더샵갤러리,압구정,3,37.526169,127.028502,기타전시/박물관,37.52459584,127.0337695,496.369278
강남구,더스마티움,수서,3,37.487507,127.101324,기타전시/박물관,37.47576658,127.1057189,1361.856783
강남구,더화이트갤러리,청담,7,37.519097,127.051851,미술관,37.52410527,127.0554035,638.9740924
강남구,데저트블룸픽처스,학동,7,37.514262,127.031738,일반극장/영화관,37.51635262,127.03289,253.7009513
강남구,도산공갤러리,압구정,3,37.526169,127.028502,소형갤러리,37.52593077,127.0346439,542.2774885
강남구,도산안창호기념관,압구정,3,37.526169,127.028502,기타전시/박물관,37.52393379,127.0355308,667.8240195
강남구,도산전시관,압구정,3,37.526169,127.028502,기타전시/박물관,37.52393379,127.0355308,667.8240195
강남구,도어즈아트페어,학동,7,37.514262,127.031738,기타전시/박물관,37.51422164,127.0358181,359.8929574
강남구,동영아트홀,역삼,2,37.500658,127.03643,공연/연극/문화센터,37.49790693,127.0443509,762.789999
강남구,두남재아트홀,강남,2,37.497958,127.027539,N,37.49550561,127.0310595,413.3064865
강남구,디아드아스턴갤러리,압구정,3,37.526169,127.028502,소형갤러리,37.52312709,127.0342284,607.8099204
강남구,디아뜨인터렉티브,압구정,3,37.526169,127.028502,기타전시/박물관,37.5212961,127.0266844,565.0539939
강남구,디아테온,압구정,3,37.526169,127.028502,소형갤러리,37.52632589,127.0398813,1003.644844
강남구,디에스와이글로벌,신사,3,37.516438,127.020247,기타전시/박물관,37.52073442,127.0207504,479.798636
강남구,라트어린이극장,매봉,3,37.487114,127.046907,공연/연극/문화센터,37.48428727,127.0422973,514.0292374
강남구,람갤러리,청담,7,37.519097,127.051851,소형갤러리,37.52243826,127.0486419,467.0488049
강남구,레스빠스71,청담,7,37.519097,127.051851,소형갤러리,37.527106,127.0454631,1053.781891
강남구,롯데시네마,매봉,3,37.487114,127.046907,롯데시네마,37.48747492,127.0471342,44.86054843
강남구,루마스코리아,청담,7,37.519097,127.051851,소형갤러리,37.52473593,127.0459457,815.0957642
강남구,루츠알레씨스토어,청담,7,37.519097,127.051851,공연/연극/문화센터,37.52556542,127.0481946,788.2313671
강남구,뤼미에르,강남구청,7,37.517185,127.04122,미술관,37.52544247,127.0408523,918.7612309
강남구,리나겔러리,학동,7,37.514262,127.031738,소형갤러리,37.51803437,127.0328445,430.67124
강남구,마리아칼라스홀,삼성,2,37.508827,127.063203,공연/연극/문화센터,37.50248904,127.0660539,748.273037
강남구,마이스코리아,강남,2,37.497958,127.027539,기타전시/박물관,37.49004416,127.0341769,1057.031531
강남구,마이클슐츠갤러리,청담,7,37.519097,127.051851,소형갤러리,37.52534509,127.0478771,778.1442301
강남구,마인드디자인,청담,7,37.519097,127.051851,기타전시/박물관,37.52483731,127.0478408,729.7232638
강남구,메가박스,강남,2,37.497958,127.027539,메가박스,37.5003928,127.0269962,274.9394168
강남구,메디컬코리아,삼성,2,37.508827,127.063203,기타전시/박물관,37.51072763,127.0594519,392.6037582
강남구,메종드라뮤지끄,도곡,3,37.491129,127.055694,공연/연극/문화센터,37.48362083,127.0597384,907.935395
강남구,메종드미끌리,학동,7,37.514262,127.031738,기타전시/박물관,37.51763772,127.0313745,376.7295812
강남구,메종에르메스,압구정,3,37.526169,127.028502,소형갤러리,37.52278938,127.0353801,713.5437859
강남구,명인갤러리,역삼,2,37.500658,127.03643,소형갤러리,37.49498949,127.0436251,894.536049
강남구,명품허니문박람회,학여울,3,37.496757,127.070541,기타전시/박물관,37.4954978,127.0717542,176.2388656
강남구,모테트합창단,강남,2,37.497958,127.027539,공연/연극/문화센터,37.49010494,127.0347538,1080.587331
강남구,몬스터코리아오피셜,학동,7,37.514262,127.031738,기타전시/박물관,37.51460354,127.027206,401.5216167
강남구,문암미술관,매봉,3,37.487114,127.046907,소형갤러리,37.49044379,127.0383477,841.069772
강남구,미갤러리,청담,7,37.519097,127.051851,미술관,37.52524981,127.0472172,796.9177503
강남구,미화랑,강남구청,7,37.517185,127.04122,소형갤러리,37.52668801,127.0439137,1083.06098
강남구,밀물아트센타,매봉,3,37.487114,127.046907,기타전시/박물관,37.47367471,127.0529364,1586.264408
강남구,밀알미술관,일원,3,37.48389,127.08416,미술관,37.48547694,127.0824875,230.0343423
강남구,바라아트홀,압구정,3,37.526169,127.028502,공연/연극/문화센터,37.52369434,127.0265058,326.6623685
강남구,바실라아트홀,역삼,2,37.500658,127.03643,공연/연극/문화센터,37.49837323,127.0388529,332.0083046
강남구,박여숙화랑,청담,7,37.519097,127.051851,기타전시/박물관,37.52524981,127.0472172,796.9177503
강남구,박영덕화랑,청담,7,37.519097,127.051851,소형갤러리,37.52572283,127.0449398,956.1931217
강남구,백남준미술관,청담,7,37.519097,127.051851,소형갤러리,37.52510138,127.0472227,782.5412012
강남구,백성현큐브,압구정,3,37.526169,127.028502,기타전시/박물관,37.52491856,127.0277892,152.5914563
강남구,백암아트홀,삼성,2,37.508827,127.063203,기타전시/박물관,37.51038359,127.0659777,299.7631361
강남구,백운갤러리,청담,7,37.519097,127.051851,소형갤러리,37.51964587,127.048598,293.3148365
강남구,백제예술대학아트센터,삼성,2,37.508827,127.063203,공연/연극/문화센터,37.51041979,127.0659929,303.1923461
강남구,보고재갤러리,청담,7,37.519097,127.051851,소형갤러리,37.51754019,127.0516702,173.8422287
강남구,봄갤러리,청담,7,37.519097,127.051851,소형갤러리,37.52705218,127.0462368,1013.711994
강남구,브라운갤러리,압구정,3,37.526169,127.028502,소형갤러리,37.5232701,127.0315539,419.9300872
강남구,비욘드뮤지엄,청담,7,37.519097,127.051851,소형갤러리,37.52305632,127.0484054,534.9440592
강남구,살롱드H,청담,7,37.519097,127.051851,기타전시/박물관,37.52130972,127.0484669,386.7971148
강남구,삼성솔루션전시장,강남구청,7,37.517185,127.04122,기타전시/박물관,37.51642642,127.0396581,161.5282592
강남구,삼익아트홀,학동,7,37.514262,127.031738,공연/연극/문화센터,37.5140125,127.0295696,193.2549601
강남구,삼익피아노홀,학동,7,37.514262,127.031738,공연/연극/문화센터,37.51404088,127.0295437,195.0931452
강남구,샘터화랑,청담,7,37.519097,127.051851,기타전시/박물관,37.52618444,127.0448063,1003.524633
강남구,서문전시장,수서,3,37.487507,127.101324,기타전시/박물관,37.47025211,127.1181757,2427.443862
강남구,서미앤투스,청담,7,37.519097,127.051851,미술관,37.52467574,127.045224,852.2784172
강남구,서울국제건축박람회,학여울,3,37.496757,127.070541,기타전시/박물관,37.49563818,127.0718138,167.5880546
강남구,서울국제골프리조트박람회,학여울,3,37.496757,127.070541,기타전시/박물관,37.4959132,127.0719923,158.7338651
강남구,서울국제유아교육박람회,학여울,3,37.496757,127.070541,기타전시/박물관,37.49539056,127.0716091,178.7884356
강남구,서울영어교육박람회,학여울,3,37.496757,127.070541,기타전시/박물관,37.49544686,127.0717504,180.5734311
강남구,서울웨딩페어웨딩박람회,삼성,2,37.508827,127.063203,기타전시/박물관,37.50756968,127.0605782,270.463584
강남구,서울일자리박람회,학여울,3,37.496757,127.070541,기타전시/박물관,37.49606754,127.0721474,161.1258471
강남구,서울임신출산육아교육박람회,학여울,3,37.496757,127.070541,기타전시/박물관,37.49597076,127.0721068,163.4779328
강남구,서울자동차복합문화센터,매봉,3,37.487114,127.046907,기타전시/박물관,37.47857498,127.04477,968.0382218
강남구,서울창업산업박람회,학여울,3,37.496757,127.070541,기타전시/박물관,37.49560779,127.0719581,178.7707261
강남구,선릉아트홀,선릉,2,37.504257,127.048174,N,37.50479463,127.0484511,64.58587648
강남구,설앤컴퍼니,학동,7,37.514262,127.031738,공연/연극/문화센터,37.51134722,127.0288101,414.4121222
강남구,섬유센터이벤트홀,삼성,2,37.508827,127.063203,공연/연극/문화센터,37.5075965,127.0605904,268.0082045
강남구,세계골프역사박물관,삼성,2,37.508827,127.063203,기타전시/박물관,37.50809136,127.0620514,130.4202734
강남구,세실아트홀,압구정,3,37.526169,127.028502,N,37.52812914,127.031832,365.7033968
강남구,세실예술기획,압구정,3,37.526169,127.028502,N,37.5281179,127.031816,363.8255764
강남구,세일아트홀,역삼,2,37.500658,127.03643,공연/연극/문화센터,37.49724977,127.0390608,444.3954382
강남구,소피스갤러리,역삼,2,37.500658,127.03643,소형갤러리,37.49636896,127.0410508,627.3938685
강남구,송은,강남구청,7,37.517185,127.04122,미술관,37.52416292,127.0441135,816.795283
강남구,송은갤러리,삼성,2,37.508827,127.063203,미술관,37.50701708,127.0635496,203.562846
강남구,송은아트스페이스,청담,7,37.519097,127.051851,미술관,37.5261481,127.0469826,893.9049057
강남구,송은아트큐브,삼성,2,37.508827,127.063203,소형갤러리,37.50700124,127.063532,205.0789303
강남구,숨프로젝트,학동,7,37.514262,127.031738,기타전시/박물관,37.5137759,127.0366863,439.7758867
강남구,슈페리어갤러리,삼성,2,37.508827,127.063203,소형갤러리,37.50809523,127.062,133.7193784
강남구,스타갤러리,강남구청,7,37.517185,127.04122,미술관,37.52341139,127.0385485,731.334117
강남구,스튜디오글로빅,압구정,3,37.526169,127.028502,일반극장/영화관,37.52297924,127.0220185,672.8429487
강남구,스페이스22,강남,2,37.497958,127.027539,기타전시/박물관,37.49783614,127.0285848,93.24954941
강남구,스페이스C,압구정,3,37.526169,127.028502,기타전시/박물관,37.5240464,127.0327975,446.3206512
강남구,스페이스K서울,압구정,3,37.526169,127.028502,소형갤러리,37.52202562,127.0341108,675.9625686
강남구,스페이스두루,압구정,3,37.526169,127.028502,기타전시/박물관,37.5277349,127.0323352,380.240243
강남구,스페이스옵트,청담,7,37.519097,127.051851,소형갤러리,37.52221978,127.0463633,595.6545221
강남구,슬슬쇼룸,청담,7,37.519097,127.051851,기타전시/박물관,37.51892709,127.0552401,299.4961537
강남구,시계박물관,학동,7,37.514262,127.031738,기타전시/박물관,37.51242873,127.0281471,376.6528232
강남구,시몬느아트센터,신사,3,37.516438,127.020247,소형갤러리,37.5190391,127.022964,375.5997817
강남구,시몬느핸드백박물관,신사,3,37.516438,127.020247,기타전시/박물관,37.51903778,127.0229726,375.971273
강남구,신광애드컴,삼성,2,37.508827,127.063203,기타전시/박물관,37.50533938,127.0589881,537.2346073
강남구,신한갤러리역삼,역삼,2,37.500658,127.03643,소형갤러리,37.49834199,127.0433637,663.675589
강남구,신한아트홀,강남구청,7,37.517185,127.04122,공연/연극/문화센터,37.51768908,127.0358225,479.3278279
강남구,실험누리과학관,도곡,3,37.491129,127.055694,기타전시/박물관,37.49662588,127.0552218,612.6432189
강남구,쎄듀컬쳐센터,매봉,3,37.487114,127.046907,공연/연극/문화센터,37.49276392,127.0403661,853.0695814
강남구,씨스퀘어,삼성,2,37.508827,127.063203,N,37.50380484,127.066592,633.4192278
강남구,씨제스스튜디오,역삼,2,37.500658,127.03643,일반극장/영화관,37.49979416,127.0419647,497.611203
강남구,씨티갤러리,강남구청,7,37.517185,127.04122,소형갤러리,37.52455944,127.0422294,824.8183387
강남구,아난티클럽,강남구청,7,37.517185,127.04122,N,37.52591837,127.042265,975.4697221
강남구,아뜨레미술관,학동,7,37.514262,127.031738,소형갤러리,37.51185318,127.0338608,326.8018174
강남구,아뜰리에에르메스,압구정,3,37.526169,127.028502,소형갤러리,37.52278582,127.0353455,711.1611003
강남구,아라리오갤러리,청담,7,37.519097,127.051851,소형갤러리,37.52567507,127.045739,908.6025179
강남구,아르떼22갤러리,강남구청,7,37.517185,127.04122,소형갤러리,37.52216567,127.0407811,555.1762912
강남구,아르세갤러리,청담,7,37.519097,127.051851,소형갤러리,37.52330667,127.0487,544.3676409
강남구,아미갤러리,청담,7,37.519097,127.051851,미술관,37.5265353,127.0461072,969.8888802
강남구,아스틴카멜,신사,3,37.516438,127.020247,일반극장/영화관,37.51658796,127.026348,538.3503589
강남구,아시아고아트홀,압구정,3,37.526169,127.028502,공연/연극/문화센터,37.52217532,127.0316931,525.7378205
강남구,아시안아트웍스,강남구청,7,37.517185,127.04122,소형갤러리,37.52678691,127.0413122,1067.71464
강남구,아트뮤제,역삼,2,37.500658,127.03643,소형갤러리,37.49687451,127.0417658,631.3204668
강남구,아트스페이스엣,압구정,3,37.526169,127.028502,소형갤러리,37.52309713,127.0323953,484.3115934
강남구,아트에디션,학여울,3,37.496757,127.070541,기타전시/박물관,37.49580306,127.0720935,173.2355189
강남구,아트지트,압구정,3,37.526169,127.028502,공연/연극/문화센터,37.52570283,127.0382753,863.4277226
강남구,아트홀가얏고을,선릉,2,37.504257,127.048174,공연/연극/문화센터,37.50473541,127.0484986,60.41333813
강남구,압구정로데오극장,압구정,3,37.526169,127.028502,공연/연극/문화센터,37.52559942,127.0383383,869.7357559
강남구,압구정예홀,압구정,3,37.526169,127.028502,공연/연극/문화센터,37.52791448,127.0362289,708.4989922
강남구,앤드앤갤러리,압구정,3,37.526169,127.028502,소형갤러리,37.52561997,127.0297725,127.593614
강남구,어반아트,신사,3,37.516438,127.020247,소형갤러리,37.52069528,127.0230833,535.4155358
강남구,엄갤러리,압구정,3,37.526169,127.028502,미술관,37.5268826,127.0341423,503.682235
강남구,에이스마케팅,신사,3,37.516438,127.020247,기타전시/박물관,37.51800956,127.0202255,174.7597867
강남구,에이전시레인보우,선릉,2,37.504257,127.048174,일반극장/영화관,37.50334887,127.049874,180.7903786
강남구,에코갤러리,신사,3,37.516438,127.020247,소형갤러리,37.51718946,127.0229741,254.6230125
강남구,엠스테이지,강남,2,37.497958,127.027539,공연/연극/문화센터,37.49862759,127.0280566,87.34171675
강남구,엠앤씨커뮤니케이션즈,논현,7,37.511108,127.021385,기타전시/박물관,37.50991236,127.0244262,299.3862282
강남구,엠엘에프,학여울,3,37.496757,127.070541,기타전시/박물관,37.49598177,127.0721083,162.9387749
강남구,엠팟홀,학동,7,37.514262,127.031738,공연/연극/문화센터,37.51400909,127.0295739,192.9345438
강남구,영동예맥화랑,논현,7,37.511108,127.021385,소형갤러리,37.51086474,127.0218834,51.61605185
강남구,영희초등학교영희문화관,대청,3,37.493607,127.079526,공연/연극/문화센터,37.49203646,127.081963,276.9927495
강남구,예인아트홀,청담,7,37.519097,127.051851,N,37.52703141,127.0461781,1014.240831
강남구,예일화랑,압구정,3,37.526169,127.028502,미술관,37.52240989,127.0279431,420.8898834
강남구,예화랑,압구정,3,37.526169,127.028502,소형갤러리,37.52285246,127.0222288,664.8708272
강남구,오유아트홀,매봉,3,37.487114,127.046907,공연/연극/문화센터,37.48375128,127.0464477,376.1071313
강남구,오페라갤러리,강남구청,7,37.517185,127.04122,소형갤러리,37.5219978,127.036595,672.8849728
