CTPRVN_NM,SIGNGU_NM,SIGNGU_CD,POPLTN_CO,CL_NM,N10S_CLTUR_IDEX_VALUE,N20S_CLTUR_IDEX_VALUE,N30S_CLTUR_IDEX_VALUE,N40S_CLTUR_IDEX_VALUE,N50S_CLTUR_IDEX_VALUE,N60S_CLTUR_IDEX_VALUE,N70S_CLTUR_IDEX_VALUE,FILE_NM,BASE_DE
"강원특별자치도","강릉시","51150","178746","연극장","191.7","324.0","229.5","202.5","121.5","67.5","62.1","KC_599_AGE_CLT_STATN_BIZAEA_2024","20250612"
"강원특별자치도","고성군","51820","22369","연극장","56.8","96.0","68.0","60.0","36.0","20.0","18.4","KC_599_AGE_CLT_STATN_BIZAEA_2024","20250612"
"강원특별자치도","동해시","51170","71625","연극장","42.6","72.0","51.0","45.0","27.0","15.0","13.8","KC_599_AGE_CLT_STATN_BIZAEA_2024","20250612"
"강원특별자치도","삼척시","51230","46317","연극장","14.2","24.0","17.0","15.0","9.0","5.0","4.6","KC_599_AGE_CLT_STATN_BIZAEA_2024","20250612"
"강원특별자치도","속초시","51210","65962","연극장","63.9","108.0","76.5","67.5","40.5","22.5","20.7","KC_599_AGE_CLT_STATN_BIZAEA_2024","20250612"
"강원특별자치도","양구군","51800","15743","연극장","28.4","48.0","34.0","30.0","18.0","10.0","9.2","KC_599_AGE_CLT_STATN_BIZAEA_2024","20250612"
"강원특별자치도","양양군","51830","21747","연극장","21.3","36.0","25.5","22.5","13.5","7.5","6.9","KC_599_AGE_CLT_STATN_BIZAEA_2024","20250612"
"강원특별자치도","영월군","51750","28448","연극장","7.1","12.0","8.5","7.5","4.5","2.5","2.3","KC_599_AGE_CLT_STATN_BIZAEA_2024","20250612"
"강원특별자치도","원주시","51130","292730","연극장","149.1","252.0","178.5","157.5","94.5","52.5","48.3","KC_599_AGE_CLT_STATN_BIZAEA_2024","20250612"
"강원특별자치도","인제군","51810","23023","연극장","42.6","72.0","51.0","45.0","27.0","15.0","13.8","KC_599_AGE_CLT_STATN_BIZAEA_2024","20250612"
"강원특별자치도","정선군","51770","27797","연극장","28.4","48.0","34.0","30.0","18.0","10.0","9.2","KC_599_AGE_CLT_STATN_BIZAEA_2024","20250612"
