CTPRVN_NM,SIGNGU_NM,SIGNGU_CD,POPLTN_CO,CL_NM,N10S_CLTUR_IDEX_VALUE,N20S_CLTUR_IDEX_VALUE,N30S_CLTUR_IDEX_VALUE,N40S_CLTUR_IDEX_VALUE,N50S_CLTUR_IDEX_VALUE,N60S_CLTUR_IDEX_VALUE,N70S_CLTUR_IDEX_VALUE,FILE_NM,BASE_DE
강원도,강릉시,"42150",213189,도서관,168.8,168.8,114.8,94.0,54.4,33.6,33.6,KC_599_AGE_CLT_STATN_BIZAEA_2020,"20210201"
강원도,고성군,"42820",26798,도서관,126.6,126.6,86.1,70.5,40.8,25.2,25.2,KC_599_AGE_CLT_STATN_BIZAEA_2020,"20210201"
강원도,동해시,"42170",90560,도서관,126.6,126.6,86.1,70.5,40.8,25.2,25.2,KC_599_AGE_CLT_STATN_BIZAEA_2020,"20210201"
강원도,삼척시,"42230",65409,도서관,126.6,126.6,86.1,70.5,40.8,25.2,25.2,KC_599_AGE_CLT_STATN_BIZAEA_2020,"20210201"
강원도,속초시,"42210",82636,도서관,126.6,126.6,86.1,70.5,40.8,25.2,25.2,KC_599_AGE_CLT_STATN_BIZAEA_2020,"20210201"
강원도,양구군,"42800",22350,도서관,42.2,42.2,28.7,23.5,13.6,8.4,8.4,KC_599_AGE_CLT_STATN_BIZAEA_2020,"20210201"
강원도,양양군,"42830",27926,도서관,42.2,42.2,28.7,23.5,13.6,8.4,8.4,KC_599_AGE_CLT_STATN_BIZAEA_2020,"20210201"
강원도,영월군,"42750",38710,도서관,84.4,84.4,57.4,47.0,27.2,16.8,16.8,KC_599_AGE_CLT_STATN_BIZAEA_2020,"20210201"
강원도,원주시,"42130",353928,도서관,168.8,168.8,114.8,94.0,54.4,33.6,33.6,KC_599_AGE_CLT_STATN_BIZAEA_2020,"20210201"
강원도,인제군,"42810",31623,도서관,84.4,84.4,57.4,47.0,27.2,16.8,16.8,KC_599_AGE_CLT_STATN_BIZAEA_2020,"20210201"
강원도,정선군,"42770",36937,도서관,84.4,84.4,57.4,47.0,27.2,16.8,16.8,KC_599_AGE_CLT_STATN_BIZAEA_2020,"20210201"
강원도,철원군,"42780",44706,도서관,168.8,168.8,114.8,94.0,54.4,33.6,33.6,KC_599_AGE_CLT_STATN_BIZAEA_2020,"20210201"
강원도,춘천시,"42110",282544,도서관,422.0,422.0,287.0,235.0,136.0,84.0,84.0,KC_599_AGE_CLT_STATN_BIZAEA_2020,"20210201"
강원도,태백시,"42190",42800,도서관,126.6,126.6,86.1,70.5,40.8,25.2,25.2,KC_599_AGE_CLT_STATN_BIZAEA_2020,"20210201"
강원도,평창군,"42760",41665,도서관,211.0,211.0,143.5,117.5,68.0,42.0,42.0,KC_599_AGE_CLT_STATN_BIZAEA_2020,"20210201"
강원도,홍천군,"42720",69192,도서관,84.4,84.4,57.4,47.0,27.2,16.8,16.8,KC_599_AGE_CLT_STATN_BIZAEA_2020,"20210201"
강원도,화천군,"42790",24868,도서관,84.4,84.4,57.4,47.0,27.2,16.8,16.8,KC_599_AGE_CLT_STATN_BIZAEA_2020,"20210201"
강원도,횡성군,"42730",46533,도서관,126.6,126.6,86.1,70.5,40.8,25.2,25.2,KC_599_AGE_CLT_STATN_BIZAEA_2020,"20210201"
경기도,가평군,"41820",62495,도서관,168.8,168.8,114.8,94.0,54.4,33.6,33.6,KC_599_AGE_CLT_STATN_BIZAEA_2020,"20210201"
경기도,고양시 덕양구,"41281",476341,도서관,295.4,295.4,200.9,164.5,95.2,58.8,58.8,KC_599_AGE_CLT_STATN_BIZAEA_2020,"20210201"
경기도,고양시 일산동구,"41285",298725,도서관,211.0,211.0,143.5,117.5,68.0,42.0,42.0,KC_599_AGE_CLT_STATN_BIZAEA_2020,"20210201"
경기도,고양시 일산서구,"41287",302981,도서관,211.0,211.0,143.5,117.5,68.0,42.0,42.0,KC_599_AGE_CLT_STATN_BIZAEA_2020,"20210201"
경기도,과천시,"41290",62026,도서관,126.6,126.6,86.1,70.5,40.8,25.2,25.2,KC_599_AGE_CLT_STATN_BIZAEA_2020,"20210201"
경기도,광명시,"41210",300092,도서관,211.0,211.0,143.5,117.5,68.0,42.0,42.0,KC_599_AGE_CLT_STATN_BIZAEA_2020,"20210201"
경기도,광주시,"41610",381324,도서관,253.2,253.2,172.2,141.0,81.6,50.4,50.4,KC_599_AGE_CLT_STATN_BIZAEA_2020,"20210201"
경기도,구리시,"41310",197608,도서관,126.6,126.6,86.1,70.5,40.8,25.2,25.2,KC_599_AGE_CLT_STATN_BIZAEA_2020,"20210201"
경기도,군포시,"41410",274309,도서관,253.2,253.2,172.2,141.0,81.6,50.4,50.4,KC_599_AGE_CLT_STATN_BIZAEA_2020,"20210201"
경기도,김포시,"41570",469340,도서관,211.0,211.0,143.5,117.5,68.0,42.0,42.0,KC_599_AGE_CLT_STATN_BIZAEA_2020,"20210201"
경기도,남양주시,"41360",712900,도서관,506.4,506.4,344.4,282.0,163.2,100.8,100.8,KC_599_AGE_CLT_STATN_BIZAEA_2020,"20210201"
경기도,동두천시,"41250",94199,도서관,84.4,84.4,57.4,47.0,27.2,16.8,16.8,KC_599_AGE_CLT_STATN_BIZAEA_2020,"20210201"
경기도,부천시 소사구,"41190",819990,도서관,126.6,126.6,86.1,70.5,40.8,25.2,25.2,KC_599_AGE_CLT_STATN_BIZAEA_2020,"20210201"
경기도,부천시 오정구,"41190",819990,도서관,84.4,84.4,57.4,47.0,27.2,16.8,16.8,KC_599_AGE_CLT_STATN_BIZAEA_2020,"20210201"
경기도,부천시 원미구,"41190",819990,도서관,422.0,422.0,287.0,235.0,136.0,84.0,84.0,KC_599_AGE_CLT_STATN_BIZAEA_2020,"20210201"
경기도,성남시 분당구,"41135",482614,도서관,295.4,295.4,200.9,164.5,95.2,58.8,58.8,KC_599_AGE_CLT_STATN_BIZAEA_2020,"20210201"
경기도,성남시 수정구,"41131",242157,도서관,126.6,126.6,86.1,70.5,40.8,25.2,25.2,KC_599_AGE_CLT_STATN_BIZAEA_2020,"20210201"
경기도,성남시 중원구,"41133",215975,도서관,126.6,126.6,86.1,70.5,40.8,25.2,25.2,KC_599_AGE_CLT_STATN_BIZAEA_2020,"20210201"
경기도,수원시 권선구,"41113",369150,도서관,295.4,295.4,200.9,164.5,95.2,58.8,58.8,KC_599_AGE_CLT_STATN_BIZAEA_2020,"20210201"
경기도,수원시 영통구,"41117",369146,도서관,337.6,337.6,229.6,188.0,108.8,67.2,67.2,KC_599_AGE_CLT_STATN_BIZAEA_2020,"20210201"
경기도,수원시 장안구,"41111",274148,도서관,211.0,211.0,143.5,117.5,68.0,42.0,42.0,KC_599_AGE_CLT_STATN_BIZAEA_2020,"20210201"
