역명,출구개수,월별총합계(21.7~23.12),집계일수,일일평균하차인원,위도,경도,자치구,평균값을 바탕으로 수치,매핑기준점수,수요지수,편의시설비율,화장실비율,인프라점수,인프라지수,수요지수+인프라지수
창동,2,3778818,652,5796,37.652993,127.046746,도봉구,6,1,7,8,16,24,5,12
혜화,4,2513413,652,3855,37.582116,127.001759,종로구,4,4,8,2,5.5,7.5,3,11
제기동,6,5533336,652,8487,37.578116,127.034902,동대문구,9,0,9,0.833333333,4.333333333,5.166666667,2,11
연신내,7,4702577,655,7180,37.618855,126.920859,은평구,8,0,8,1.857142857,5.142857143,7,3,11
신도림,6,3450350,652,5292,37.508815,126.891222,구로구,6,1,7,2.166666667,11.16666667,13.33333333,4,11
청량리,6,4820232,652,7393,37.580148,127.045063,동대문구,8,1,9,1.333333333,1.166666667,2.5,1,10
종로5가,8,4797434,652,7358,37.570971,127.0019,종로구,8,1,9,0.375,2.5,2.875,1,10
종로3가,16,8219997,1956,4202,37.572546,126.990447,종로구,5,2,7,1.875,6.1875,8.0625,3,10
안국,6,1916399,652,2939,37.576562,126.98547,종로구,3,5,8,2,3.5,5.5,2,10
회현,7,3745184,652,5744,37.559698,126.979565,중구,6,1,7,1.142857143,3.142857143,4.285714286,2,9
홍제,6,2646270,652,4059,37.588851,126.944092,서대문구,5,1,6,0.5,5.666666667,6.166666667,3,9
압구정,6,2687321,652,4122,37.526169,127.028502,강남구,5,2,7,2.166666667,3.666666667,5.833333333,2,9
충무로,8,2285583,655,3489,37.561302,126.995473,중구,4,1,5,3.375,3.625,7,3,8
청담,6,1472156,652,2258,37.519097,127.051851,강남구,3,2,5,3.333333333,5.333333333,8.666666667,3,8
역삼,7,2977123,652,4566,37.500658,127.03643,강남구,5,1,6,2.571428571,3,5.571428571,2,8
신림,8,3736463,652,5731,37.484216,126.929573,관악구,6,0,6,1.375,3.875,5.25,2,8
수유,8,3490469,652,5353,37.637127,127.024731,강북구,6,1,7,0.875,2.625,3.5,1,8
선릉,10,4042090,652,6200,37.504257,127.048174,강남구,7,0,7,0.5,2.7,3.2,1,8
삼성,6,2001967,652,3071,37.508827,127.063203,강남구,4,1,5,1.666666667,5,6.666666667,3,8
사당,14,5310346,1304,4072,37.476563,126.981746,동작구,5,0,5,1.928571429,7.5,9.428571429,3,8
남부터미널,6,2381715,652,3653,37.48494,127.016289,서초구,4,2,6,0.833333333,3.333333333,4.166666667,2,8
까치산,8,2944943,652,4517,37.53181,126.846706,강서구,5,0,5,2.125,4.25,6.375,3,8
경복궁,7,1736346,652,2663,37.575844,126.973576,종로구,3,3,6,1.714285714,3.857142857,5.571428571,2,8
건대입구,8,2666460,1304,2045,37.540882,127.071103,광진구,3,1,4,2.5,8.5,11,4,8
홍대입구,9,1626002,652,2494,37.556748,126.923643,마포구,3,2,5,1.111111111,4.444444444,5.555555556,2,7
종각,8,2452998,652,3762,37.570203,126.983116,종로구,4,1,5,0.75,4.625,5.375,2,7
잠실,16,4717228,1304,3618,37.514649,127.104267,송파구,4,1,5,1.5,4,5.5,2,7
양재,12,2928944,652,4492,37.48466,127.03513,서초구,5,2,7,0.583333333,1.166666667,1.75,0,7
쌍문,6,3065303,652,4701,37.648274,127.034381,도봉구,5,0,5,1.5,3.833333333,5.333333333,2,7
신촌,8,2258649,652,3464,37.555153,126.93689,마포구,4,1,5,1,3.25,4.25,2,7
신대방,6,2316646,652,3553,37.487534,126.913279,동작구,4,0,4,1.833333333,4.666666667,6.5,3,7
서울대입구,8,3232353,652,4958,37.481233,126.952745,관악구,5,0,5,1.375,2.75,4.125,2,7
미아사거리,8,3314242,652,5083,37.613276,127.030083,강북구,6,0,6,0.5,3.375,3.875,1,7
동묘앞,8,3336210,1304,2558,37.572275,127.015666,종로구,3,0,3,4.375,5.625,10,4,7
당고개,4,1381400,652,2119,37.66956,127.078404,노원구,3,0,3,1.75,8.5,10.25,4,7
구의,4,1961482,652,3008,37.536857,127.085024,광진구,4,0,4,2,4.25,6.25,3,7
구로디지털단지,8,3216069,652,4933,37.485005,126.902626,구로구,5,0,5,1,3,4,2,7
교대,14,4536492,1304,3479,37.49306,127.013796,서초구,4,1,5,0.857142857,3.785714286,4.642857143,2,7
고속터미널,16,4707678,1304,3610,37.503387,127.005055,서초구,4,1,5,3.375,0.8125,4.1875,2,7
강변,4,2117118,652,3247,37.535161,127.094684,광진구,4,0,4,1,7.75,8.75,3,7
강남,12,2805648,652,4303,37.497958,127.027539,강남구,5,1,6,0.333333333,1.666666667,2,1,7
화곡,8,2621923,652,4021,37.541585,126.840436,강서구,5,0,5,0.75,3,3.75,1,6
